coin_name,kyc_or_not,audit_or_not,description,current_presale,soft_cap,hard_cap,currency,private_sale_start_time_(UTC),private_sale_end_time_(UTC),date_last_updated,first_release_for_project,vesting_for_project,status,minimum_buy,maximum_buy,website_link
 WAR TOKEN (WHITELIST ONLY) , No , No ," Decimation Earth can be played solo, but it is suggested users form an alliance for the best game play experience. Players can discover, join and form teams in our gameplay forum. Each team player has different roles such as a General, Major and Lieutenant. These roles are determined by holding a vote. Team member ranks will determine the players ability to control assets, weapons and bases. All team members will remain in control of their own assets at all times. Please see website. ",0 , 300 , 600 , BNB , 2022.10.05 19:00 , 2022.10.10 14:00 , 2023-09-14 , 95% , 4% each 7 days , ended ,1.0, 5 , https://decimation.io/
 PoshCoin Private Sale , No , No ," PoshCoin is a new crypto token that will revolutionize the digital economy of the cannabis sector. PoshCoin will reduce the existing friction points in the cannabis segment and become the preferred mode of transaction. This new crypto will be listed on all the major exchange sites ✅No tax, ✅No Transaction Fee, ✅Audited, ✅KYC'ed. Other ecosystems of PoshCoin - ✅PoshMarket. ✅PoshWallet. ✅PoshExchange.✅ PoshNFT. ✅PoshGames ",450.9078002883226 ," 50,000 "," 100,000 ", BUSD , 2022.09.26 09:32 , 2022.10.03 09:32 , 2023-09-14 , 10% , 10% each 90 days , canceled ,1.0," 10,000 ", https://poshcoin.io/
 Windex Privatesale , Yes , No ," Windex is a binary options exchange built on a decentralized blockchain platform. All are transparent and fair, with a vast data source from the world's leading exchanges, a team of experts, and a professional WinDex platform builder. With a good marketing strategy, WinDex will quickly become a unicorn in the global financial market. ",24 , 15 , 24 , BNB , 2022.09.26 14:10 , 2022.09.28 10:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.999, 1 , https://www.windex.finance/
 ShinobiVerse.io , Yes , No ," ShinobiVerse is a next-gen open-world RPG that fully integrates NFTs. It is built in Unreal Engine 5 and Godot. May 26 2022 ShinobiVerse.io Fair Launch raised 2235 BNB on Pinksale. To assist with marketing and Tier 1 CEX listing, we are going to sell (10%) of the Max Supply of 45 billion tokens. Meaning we're selling 4,5 billion (4.500.000.000) SHINO tokens off market at a 10% discount. Tokens are released 24 hours after this sale closes and after 10% discount on the Coinmarketcap price is given. ",0 , 200 , 400 , BNB , 2022.09.20 17:00 , 2022.09.27 17:00 , 2023-09-14 , 95% , 1% each 5 days , canceled ,0.5, 50 , https://shinobiverse.io/
 abc , No , No , this is the new shit coin that will change the world . Disclaimer: The information provided shall not in any way constitute a recommendation as to whether you should invest in any product discussed. We accept no liability for any loss occasioned to any person acting or refraining from action as a result of any material provided or published ,0 , 10 , 20 , BNB , 2022.09.21 08:31 , 2022.09.26 03:31 , 2023-09-14 , 52% , 2% each 30 days , canceled ,1.0, 2 , https://ethshiba.io/
 Kasa Central Token Private Sale , Yes , No ," Audited✅KYC'ed✅ SAFU Badge✅ Kasa Central is Built by Experienced and professional team of crypto gurus that aim to build innovative, long term and sustanable Multi-Function ecosystem with amazing Utilities, Earn overwhelming ROI returns with our staking pool and P2E, Win huge prizes with Kasa lottery, Hodl $KASA token to earn VIP spot on our launchpad and NFT Marketplace, KasaSwap and lottery is live now, Stake $KASA and get 30% discount on our NFT sales, Join KASA now and become part of this revolution. ",2.5 , 50 , 100 , BNB , 2022.09.18 08:00 , 2022.09.24 20:00 , 2023-09-14 , 90% , 10% each 1 days , ended ,0.5, 2.5 , https://kasacentral.net/
 JETSET TOKEN V2 PRIVATE SALE , No , No ," Jetset is a utility token used in the ever-growing industries of travel, wellness, beauty and luxury lifestyle. Everybody deserves a quality of life and using JetSet will set the gold standard of living. We have strategic partnerships that will offer rewards on travel packages, giveaways, discounts, and exclusive events around the world. Our ecosystem will include NFT marketplace and a decentralized lux bnb rental platform to rent high end homes and exotic cars. ",4.5 , 100 , 200 , BNB , 2022.09.16 18:00 , 2022.09.23 18:00 , 2023-09-14 , 40% , 20% each 3 days , canceled ,0.5, 1.5 , http://jetsettoken.com/
 CyberCoinVerse $CCV , No , No ," 💎CyberCoinVerse💎 is a 3D Metaverse Game 🎮 Play to Earn, multiple P2E Games type collecting from developer over the world, DeFi (stake to earn with DAPP), NFTs trading and more products….✅Web3 NFT Marketplace (Trade NFTs) ✅ Web3 DeFi (stake to earn $CCV Token and NFTs) ✅ No Tax ✅ Launching with Low market cap 💎 for 100 BUSD right now you will get 50000 $CCV token price $0.002 that is profits 500% at listing, the lowest price have only 1 time. ","1,374.2397484924888 "," 15,000 "," 30,000 ", BUSD , 2022.09.27 13:00 , 2022.09.30 16:00 , 2023-09-14 , 95% , 5% each 5 days , canceled ,50.0, 300 , https://www.cybercoinverse.io/
 StackPro Finance Private Sale , Yes , No ," 💎Turn $1000 to $2 Million in a year. 💎Worlds First SIX Passive Income Stream Protocol. ✅ SAFU Contract, KYC & Audit by RugFree Coins ✅ All products LIVE! ✅ Massive Marketing planned with Travelad, Money Ninja etc ✅ BUSD & BNB Rewards ✅ Low Marketcap ✅ No Team Tokens ✅ Private Sale 1 BNB = 310 SPRO. ✅ PreSale 1 BNB -300 SPRO ✅LP locked for 1 year ✅CMC & CG ",50 , 30 , 50 , BNB , 2022.09.18 09:00 , 2022.09.22 09:00 , 2023-09-14 , 95% , 1% each 5 days , ended ,0.2, 3 , https://stackpro.finance/
 Elizabeth II Coin Private Sale , Yes , No ," We would like to extend our heartfelt sympathy to The Royal Family at this extraordinarily sad time. We will work with NFT artists – detailing her journey from new Queen to the respected head of state across NFT artwork. The remarkable legacy of Britain’s longest-serving monarch will live on for many years to come.✅AUDIT + KYC ✅LOW TAX ✅AUTO-BACKBACK 🚀 ✅STAKING APY 8,000% ✅LOTTERY for UK's TOUR PACKAGE ✅ECOSYSTEM - NFTs, GameFi, Shop ",50 , 25 , 50 , BNB , 2022.09.20 13:00 , 2022.09.21 13:00 , 2023-09-14 , 50% , 10% each 1 days , ended ,0.001, 50 , https://elizabethiicoin.io/
 ShiBurn Token , No , No ," ShiBurn is a great new project with many exciting things to come including a staking system that we plan to have up and running along with a website that will launch simultaneously with pancakeswap launch, unique and exclusive Nfts, a SHIBLOTTERY, weekly and monthly burns from both Shiba Inu as a ShiBurnToken and later a P2E turn-based 3VS3 style inspired by YU-GI OH Join this family and buy your ShiBurnTokens Why not invest in this token? If it is confirmed that random projects like this are the biggest) ",0.61 , 20 , 40 , BNB , 2022.09.12 03:30 , 2022.09.29 23:59 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.05, 1 , https://shiburn.finance/
 PLOTRIX PRIVATE SALE ROUND 1 , No , No ," For the first time, investors around the globe can invest into the UK Rent-to-Rent Short-Term Rental property market through fractional and tokenized ownership. Powered by the Binance Smart Chain (BSC) network. Earn 5% to 15% monthly over a period of 36 months with Plotrix as we aim to grow our portfolio globally using Airbnb ",0.01 , 35 , 70 , BNB , 2022.09.12 18:00 , 2022.09.14 23:59 , 2023-09-14 , 70% , 15% each 3 days , ended ,0.01, 50 , https://plotrix.org/
 Private sale Ozacoin ($OZA) , No , No ," The mission of the $OZA utility token is to offer all our Holders tokenized shares of our company Ozalentour. The $OZA token will be valued according to the company's 'Ozalentour' solutions, all guaranteed on a basket of 6 crypto-currencies such as: $BNB, $BUSD, $ETH, $USDT, $USDC and $BTC! ",50 ," 50,000 "," 100,000 ", BUSD , 2022.09.08 16:30 , 2022.09.14 10:00 , 2023-09-14 , 49% , 20% each 1 days , ended ,15.0," 25,000 ", http://www.ozacoin.io/
 Waters8y(WAZR) Private Sale , No , No ," WAZR is a utility token that will invest in profitable water projects that are helping in the conservation of water resources and then they will also reinvest a portion of profits into non-profit projects in underdeveloped areas around the globe, protecting the earth's most valuable resource water. IDO PINK SALE OCT-NOV, PreSale Round 1 Price: $0.0005, NO TOKEN TAX, Save Water Resources Projects, Exciting NFT based Game with the help of token, TOTAL HC IN 4 ROUNDS (700 BNB), for ROUND 1 HC is ( 50 BNB) ",25.54241 , 25 , 50 , BNB , 2022.09.07 13:59 , 2022.09.10 13:59 , 2023-09-14 , 50% , 25% each 3 days , ended ,0.01, 50 , http://waters8y.com/
 0x5c27918DBDF929Cd8DC5b755FF74eA48aAD2F9A4 , No , No , Phoenix true burn is a fast-burning hyper-deflationary token that gains value with every buy and sell. The burn in the Phoenix contract is a true burn function that removes tokens from the total supply with every buy and sell transaction. Phoenix's number one goal is to become the fastest burning token on the BSC network alongside this the team plans to release a staking platform to allow Phoenix holders to earn passive income. ,0 , 30 , 60 , BNB , 2022.09.09 09:00 , 2022.09.10 09:00 , 2023-09-14 , 40% , 20% each 3 days , canceled ,1.0, 2 , https://phoenixtrueburn.com/
 Private Sale BitFarming , No , No ," BitFarming is a project that aims to look at environmental changes, which will help the whole world in Plant trees and the construction of wells . Protecting the whole world and the future with global warming. Our goal is to be the most used CryptoCurrency in the world of Gaming with Green ideas.. BF is a hyper-deflationary decentralized buyback token on BSC (Binance Smart Chain) BlockChain. BitFarming will be a P2E project which will be the most known and most used cryptocurrency in the Gaming world. ",0.5221855 , 20 , 40 , BNB , 2022.09.15 15:00 , 2022.09.18 15:00 , 2023-09-14 , 70% , 30% each 7 days , ended ,0.1, 3 , https://www.bitfarming.fun/
 [Private Sale] Private Sale can be purchased at 60% cheaper than the published price in the future. , No , No ," PRIVATE SALE can be purchased at 60% cheaper than the published price in the future. Avatanium (AAM) applied for listing on Gate.Io on August 28th. In the future, we plan to apply for listing on more than 7 major global exchanges (Binance, Kraken, Kucoin, Bitfinex, Huobi Global, Bybit) including Gate io. If it is not listed on the mentioned exchange, it will be listed on the DEX market immediately through a pink sale. And we will proceed with listing on CEX slowly ",0.525378855 , 50 , 100 , BNB , 2022.09.06 14:00 , 2022.09.09 14:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.5, 10 , https://avatanium.shop/
 Legacy Builder Coin-LBC , No , No , This is the best project ever under the Universe as early adopters of Legacy Builder Coin- Lbc will be instant millionaires in no time. LBC will be bigger than Bitcoin simple because it will be backed by diamonds and gold and successfull businesses on the ground. Dont miss out on this one in a million opportunity where you can make up to 1000% profit in just 2 weeks. ,0.1 , 250 , 500 , BNB , 2022.09.07 15:13 , 2022.09.14 15:14 , 2023-09-14 , 40% , 40% each 2 days , ended ,0.1, 10 , https://legacybuildercoin.company.site/
 Luminous Angel , No , No ," Luminous Angel is created to purge the scam menace in the crypto industry with a wild range of exploit mitigation tools in her ecosystem. Ensuring the crypto space is safer today and for the upcoming generations. We are restoring back the true value of the Blockchain, to put financial freedom in the masses hands not controlled by the government or any centralized entity. ",10 , 100 , 200 , BNB , 2022.09.02 15:00 , 2022.09.03 15:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,1.0, 2 , https://luminousangel.io/
 Artistoken Private Sale , Yes , Yes ," Artistokens connects you directly to all artists of all genres, in a familiar way from the artist to the singer and dancers into Digital interface, by NFT’s and subsequently introducing them into the world of Metaverse. ",0 , 100 , 150 , BNB , 2022.09.05 11:00 , 2022.09.06 08:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,5.0, 50 , https://artistokens.com/
 GemZeal Private Sale , No , No , GEMZEAL is a Token-Platform blockchain that aims to simplify the implementation of blockchain and all the decentralized technologies within the public services and in our Daily activities. ,0.4 , 20 , 30 , BNB , 2022.08.31 15:00 , 2022.09.14 15:00 , 2023-09-14 , 95% , 5% each 2 days , ended ,0.1, 5 , https://gemzeal.com/
 MIDAS MINER PRIVATE , Yes , Yes ," 🎉 The next big thing in M2E gaming has arrived ! Welcome to MIDAS MINER Community ! 🎉 Midas Miner is the No.1 Gold minng game on Binance Smart Chain. You can dig a lot of exclusive rewards in this game. Midas Miner is a miner-to-earn decentralized NFT Card GameFi where everyone can earn tokens through minering gold and diamonds , collecting NFT items and training characters to sell on the marketplace ",30 , 15 , 30 , BNB , 2022.08.31 14:05 , 2022.09.02 14:05 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.5, 1 , https://www.midasminer.io/
 Owners Unity , No , Yes ," Owners Unity offers it's investors up to seven passive income streams from multiple revenue generating utilities. Seven ways to maximise short or long term profit objectives. The unique structuring of the rewards means even in a bear market, you can receive substantial stable coin rewards. Owners Unity provides a blend of real world and crypto based utilities to make this possible whilst also looking to change the way the property industry operates. 1bnb = 1,000,000 OUT ",0.6 , 100 , 200 , BNB , 2022.08.31 00:00 , 2022.09.06 00:00 , 2023-09-14 , 20% , 20% each 30 days , canceled ,0.5, 10 , https://www.outoken.org/
 Bitzen Space Private Sale , No , Yes ," 💎Bitzen Space💎 is a sophisticated platform to explore the crypto space. People can generate passive earning by using Bitzen App through participating ""Learn & Earn"" ""Play to Earn"" ""Business to Earn"" & more programmes. ✅ Beta App Available On Playstore. ✅ Promising And Token Real Utility Project. ✅ Experienced Team. ✅ NO TAX. ✅ Launching With Low Market Cap. ✅ Listing Confirmed On Bitmart Exchange. 💎Join Bitzen.Space now ! Become an Early Partner for Maximum Returns 💎 ","50,000 "," 25,000 "," 50,000 ", BUSD , 2022.08.31 13:00 , 2023.09.03 13:00 , 2023-09-14 , 95% , 5% each 1 days , ended ,150.0, 750 , https://bitzen.space/
 Plotrix Finance Private Sale , No , No ," For the first time, investors around the globe can invest into the UK and the of the globe Rent-to-Rent Short-Term Rental property market through fractional and tokenized ownership. Powered by the Binance Smart Chain (BSC) network. ",0 , 300 , 600 , BNB , 2022.08.31 08:00 , 2022.09.05 21:59 , 2023-09-14 , 60% , 20% each 3 days , canceled ,0.1, 100 , https://plotrix.org/
 ScarpaCoin , No , Yes ," ScarpaCoin is a decentralized cryptocurrency. It is peer-to-peer digital currency that enables you to easily send money online. We have plan to upgrade with upcoming projects in 2022 e.g., Metaverse, NFT, Scarpa App, Game & Wallet. KYC, Audit Done and Listed on CoinMarketCap.com Pre-Sale Price is 0.0018 USD & Public Sale Price is 0.0022 USD ",0 , 100 , 200 , BNB , 2022.08.26 14:11 , 2022.09.30 12:09 , 2023-09-14 , 40% , 10% each 30 days , canceled ,0.1, 5 , https://scarpacoin.com/
 0x587B5FE3c51BDFf652E525FDcfddF59b8011e40e , No , No ," The ECOSYSTEM is an enterprise that was born as a result of the problems in the production and cultural environment of cocoa, its production that has been inherited for generations, is one of the pillars of the economy in Latin America. ",0 ," 8,400 "," 16,800 ", BNB , 2022.08.25 23:49 , 2022.09.30 23:49 , 2023-09-14 , 95% , 1% each 1 days , ended ,0.1, 82 , https://www.xcaosystemgroup.com/
 PRESALE QR-CODE TOKEN [QRC] , No , No ," QRC is an token was created to give liquidity to new start-ups and will reward those who keep it in their portfolio. The community will choose each year by voting which start-ups to reward. Automatically rewarded with every transaction. We also have a staking poll linked to the partnership with the Token Meta Gift Coin (MGC). Therefore, those who stake QRC Tokens will get MGC Tokens as a reward and vice versa on MGC staking. ",0 , 20 , 40 , BNB , 2022.09.01 13:14 , 2022.09.30 13:14 , 2023-09-14 , 10% , 50% each 15 days , ended ,0.5, 5 , https://www.qrcodetoken.org/
 Swords of Blood IDO $SWDTKN | Airdrop | Beta Access Giveaway | NFT Giveaway | Free WL | Confirmed CEX | Kucoin | Gate | Bitrue | Simplex , No , No ," ⚔️ SWORDS OF BLOOD ⚔️ 🔥 Swords of Blood is the first AAA-quality fast-paced hack and slash RPG in the blockchain - Solana 🔰 🎮 Game Features: - 100% game development done - Token purchass using credit card - PvP, PvE, Tournaments, Season Passes! - Multiplayer 16 PvP Maps, Clans - Skins, Weapons, NFTs - and more! 📣 Perks for IDO participants! Partners: ⭐️ Solana Ventures ⭐️ Fundamental Labs ⭐️ Asteroid Labs + more! LAUNCH PARTNERS: Seedify Gamestarter Enjinstarter LISTINGS: Kucoin, Gate, Bitrue and more! ",0 ," 75,000 "," 150,000 ", BUSD , 2022.08.31 12:15 , 2022.09.08 23:59 , 2023-09-14 , 95% , 5% each 1 days , canceled ,20.0," 100,000 ", https://swordsofblood.com/
 Federal Reserve 3.0 Private Sale , Yes , Yes ," Federal Reserve 3.0 is a new project with old roots, harkening back to days of the bull run for both traditional and crypto markets, back to when the US Federal Reserve rained money down on the masses and was the catalyst for many gains and waves of green. Soon to come will be an active NFT Market full of traditional-cum-decentralised investments: T-Bonds, staking, yield investments.. We've got a lot planned, so grab the bull by the horns and let's go. ",5 , 35 , 70 , BNB , 2022.08.24 11:00 , 2022.08.27 11:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.5, 1 , http://www.fedreserve.money/
 MAPA Coin Private Sale Round , No , No ," 🔥 Our vision with the Crypto Mapa and the Ekstra Dapp ✅ (app.ekstra.io) is to make the blockchain and the Web3 world easier and more accessible to everyone. BNB revenues will be redistributed based on the percentage owned. Imagine a future in which in addition to having a valuable token, you will have profit automatically generated by our Dapps ecosystems such as ✅ (ekstra.io/wallet) and many other products and services that will come soon! 🚀 Join us on Private Sale Round. ICO Price = 0.00095 BNB ",0.07 , 20 , 40 , BNB , 2022.08.24 23:10 , 2022.09.30 23:58 , 2023-09-14 , 95% , 5% each 1 days , ended ,0.033," 11,947.48 ", https://ekstra.io/
 Zoraffle Metaverse NFT P2E Game , No , No ," NutGain Ecosystem Introducing ZorRaffle Metaverse Based NFT Games Pinksale verified SAFU DEV @anoopsafudeveloper, KYCed https://github.com/coinscope-co/kyc/blob/main/nutgv2/kyc.png All the Private sale holders will receive NFT Lottery!! Mega Winner $15,000 14 Others Winners will receive $1,000 Each ",0 ," 15,000 "," 30,000 ", BUSD , 2022.09.08 00:59 , 2022.09.11 23:59 , 2023-09-14 , 50% , 20% each 5 days , canceled ,100.0, 500 , https://www.nutgain.io/
 Swords of Blood IDO $SWDTKN | Airdrop | Beta Access Giveaway | NFT Giveaway | Free WL , No , No ," ⚔️ SWORDS OF BLOOD ⚔️ 🔥 Swords of Blood is the first AAA-quality fast-paced hack and slash RPG in the blockchain - Solana 🔰 🎮 Game Features: - 100% game development done - Token purchass using credit card - PvP, PvE, Tournaments, Season Passes! - Multiplayer 16 PvP Maps, Clans - Skins, Weapons, NFTs - and more! 📣 Perks for IDO participants! Partners: ⭐️ Solana Ventures ⭐️ Fundamental Labs ⭐️ Asteroid Labs + more! LAUNCH PARTNERS: Seedify Gamestarter Enjinstarter LISTINGS: Bitrue Simplex + more! ",0 ," 75,000 "," 150,000 ", BUSD , 2022.08.24 14:00 , 2022.09.05 23:59 , 2023-09-14 , 95% , 5% each 1 days , canceled ,15.0," 50,000 ", https://swordsofblood.com/
 CR7 SIUUU Token Private-Sale , No , Yes ," CR7SIUUU TOKEN is based on Cristiano Ronaldo, the GOAT, the idol of millions, specifically his SIU celebration shout that shaked the whole world. A professional Doxxed and KYC’ed team, a SAFU audited contract and a locked LP pool is all you need to feel safe and secure in current crypto space. unique NFT’s, SIU CLOTHES BRAND, both will be launched with attractive and authentic designs. We fully believe in children with Autism, so we will guarantee them charitable support as our idol CR7 supports them. ",23.212385046475956027 , 45 , 70 , BNB , 2022.08.24 19:00 , 2022.08.26 19:00 , 2023-09-14 , 90% , 10% each 1 days , canceled ,0.2, 1 , https://www.cr7siuuu.com/
 CR7 SIUUU Token Private-Sale , No , Yes ," CR7SIUUU TOKEN is based on Cristiano Ronaldo, the GOAT, the idol of millions, specifically his SIU celebration shout that shaked the whole world. A professional Doxxed and KYC’ed team, a SAFU audited contract and a locked LP pool is all you need to feel safe and secure in current crypto space. unique NFT’s, SIU CLOTHES BRAND, both will be launched with attractive and authentic designs. We fully believe in children with Autism, so we will guarantee them charitable support as our idol CR7 supports them. ",0 , 70 , 70 , BNB , 2022.08.22 19:00 , 2022.08.23 19:00 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.2, 0.7 , https://www.cr7siuuu.com/
 los private sale , No , No , Legend Of Spark星火传奇加入PEGO Network生态 基于BNB Chain的传统传奇玩法链游“Legend Of Spark星火传奇”宣布加入PEGO Network生态，双方将在GameFi与PGNFT CLUB赋能方面展开合作。 据悉，“Legend Of Spark星火传奇”已筹备测试数月，将于8月20日启动预售，8月21日正式上线W3Swap，正式服也在上线同时开启。 PEGO Network是一个以技术驱动+DAO治理的创新公链，利用生态赋能，打造公链集群效应，全面赋能OSK-DAO、PGNFT发展。 Legend Of Spark星火传奇继承了传奇私服的经典玩法，同时结合了区块链的市场机制，开创P2E的全新体系，在让人玩赚的同时兼顾了游戏的可玩性。游戏已实现三端互通，并且是首个在虎牙直播的链游。 ,62.48 , 175 , 350 , BNB , 2022.08.20 14:30 , 2022.08.21 14:30 , 2023-09-14 , 95% , 5% each 1 days , canceled ,0.1, 1 , https://los-pk.com/
 Ruby Coin , No , No ," Ruby Coin provides the ability to purchase products and services with cashbacks and also receive lines of credit for tokens staked via the Ruby Card.Stacking earns attractive APY rates. Funds that are raised are also being used to secure the Buddha Ruby , which the Ruby DAO has the first right of refusal to acquire. The Uniswap V3 season is here, and RUBY is at its forefront. Mint, swap self-market-making tokens with hyper-efficient, perma-locked liquidity. Ruby Coin is the perfect choice! ",0 ," 5,000,000 "," 10,000,000 ", USDT , 2022.08.30 17:00 , 2022.09.30 17:00 , 2023-09-14 , 90% , 10% each 14 days , canceled ,500.0," 5,000 ", https://rubycointrade.com/#
 Waters8y(WAZR) Private Sale , No , No ," WAZR is a utility token that will invest in profitable water projects that are helping in the conservation of water resources and then they will also reinvest a portion of profits into non-profit projects in underdeveloped areas around the globe, protecting the earth's most valuable resource water. IDO PINK SALE OCT 15, PreSale Round 1 Price: $0.0005, NO TOKEN TAX, Save Water Resources Projects, Exciting NFT based Game with the help of token, TOTAL HC IN 4 ROUNDS (700 BNB), for ROUND 1 HC is ( 200 BNB) ",21.593117175 , 100 , 200 , BNB , 2022.08.17 15:00 , 2022.08.31 15:00 , 2023-09-14 , 50% , 25% each 3 days , ended ,0.01, 100 , http://waters8y.com/
 private-sale , No , No ," * StarkMeta Features A veteran Unreal Engine development team with over 10 years of experience. Including the development team of Watch Dogs and The Witcher. World's first blockchain betting, mining system and NFT virtual real estate (staking) Modular development (API/SDK) success. Compatibility: Can be integrated into any platform including PC, mobile, XBOX, PlayStation, VR. OKX listing confirmed (early October): Starting price of $0.5~$1 Investor Return: About 450%~900% ",0 , 500 ," 1,000 ", BNB , 2022.08.16 23:59 , 2022.08.20 23:39 , 2023-09-14 , 5% , 10% each 90 days , canceled ,0.1, 10 , https://starkmeta.io/
 Politic Wars Private Sale , Yes , Yes , Politic Wars is a 2D platform War game. 🎮 Pick a world famous Leader's NFT and fight others ⚔️ Players will earn $PWS based on their scores 🥇 A war where Leaders do the fighting for once. 🏆 FREE NFT for anyone who participates in Private Sale 🎁 $PWS will be used to purchase all in-game items and on NFT Market Partners❤️ Downloadable on Google Play📱 %50 Discount on Private Sale ❗️ Audit ✅ KYC ✅ Veteran Team ✅ Early Investor Rewards ✅ Listed on CMC ✅ NFT Marketplace ✅ VIP group for Private Investors ,"1,842.139269075245 "," 15,000 "," 30,000 ", BUSD , 2022.08.23 15:00 , 2022.08.30 15:00 , 2023-09-14 , 50% , 10% each 1 days , canceled ,50.0," 1,000 ", https://www.politicwars.com/
 KIO • SURF-to-EARN • WEB3 BROWSER Seed Sale , No , No ," 🔆 KIO BROWSER 🌐 NEXT-GEN WEB3 BROWSER. 💸 SURF-to-EARN browser, Earn crypto while browsing! 🏆 WORLD'S FIRST WEB BROWSER FOR CRYPTO, 🔐 SAFEST CRYPTO BROWSER FOR DEFI & DAPPS! 🔆. 🔆 KIO browser is only for Trusted crypto sites 🔐. KIO is Lightweight, Easy & Safe from any interference. KIO browser 🌐 & Wallet 🏦 will be available for PC, Android & iOS. 🛠 Audit & KYC in progress 🛠. 👤 Backed by reputable VC👤. 🔗 Visit : https://kio.ooo ",0 , 150 , 299 , BNB , 2022.08.17 00:00 , 2022.08.24 00:00 , 2023-09-14 , 90% , 10% each 10 days , canceled ,0.1, 5 , https://kio.ooo/
 BellasNFTs $BEL , No , No ," Imagine, you're walking down our catwalk during fashion week. While fashion brands struggle to generate income as the fashion industry is in turmoil, money is coming at you left and right. Leveraging the power of blockchain, your beautiful BellasNFTs not only provide you with rewards, benefits and utilities, but they also spark envy in the hearts of your fellow fashion enthusiasts. Life is good, but it could be better Learn more about the 7,777 3D NFT collection bringing innovations to the fashion industry ",890.3115615197604 ," 15,000 "," 30,000 ", BUSD , 2022.08.14 15:00 , 2022.08.31 23:59 , 2023-09-14 , 50% , 10% each 30 days , canceled ,10.0," 2,500 ", https://bellasnfts.io/
 Chickens Survival Game. Private Sale , No , No ," Chickens Survival Game ($CSG) is a blockchain currency that the player earns while running. It is used to start the game at each stage, as well as buy-sell-trade heroes, special skills, items, and NFT accessories. The possibility of staking and crafting, upgrading heroes and their clothes. The player will always have a choice of the number of coins to start with. It depends on what percentage of bonuses and coins the player will receive for the race. The project has KYC and AUDIT ",0.01 , 200 , 350 , BNB , 2022.08.17 00:00 , 2022.08.24 00:00 , 2023-09-14 , 14% , 7% each 30 days , canceled ,0.01, 15 , https://chickenssurvival.com/
 Whale World Cup Private Sale , No , No , $WWC project is a Win2Earn concept with ZERO TAX and real use case token build for Qatar World cup 2022 Whale Worldcup 🐳⚽️ ✅ KYC AUDIT(SAFU) 🔥🔥 ✅ IDO PINKSALE SEPTEMBER 9🔥🔥 ✅ NO TOKEN TAX 🔥🔥 ✅ 32 LIMITED EDITION NFT TEAM! 🌙 ✅ SMALL HC (250 BNB) 🔥🔥 ✅ Partnered with DTC AND THAI WHALES ! 🐳 Dont forget to follow our official links down below and dont miss out this rare opportunity! 🔥🔥 ,40 , 20 , 40 , BNB , 2022.08.15 10:01 , 2022.08.17 10:01 , 2023-09-14 , 95% , 5% each 3 days , ended ,0.5, 1.5 , https://whaleworldcup.io/
 Xdroids Virtual Reality Warfare Seed Sale 1 , Yes , No ," Xdroids Virtual Reality Warfare is a Metaverse, Free-to-Play and Kill-to-Earn FPS NFT game developed by Designton Game Studio with Nintendo approved developers. IDO Price: $0.008 $XDROIDS Seed Sale: $0.0035 $XDROIDS For $100 you'll get 28570 $XDROIDS tokens! You can stake $XDROIDS for free NFTs packages and APY and play the game for stable rewards. Pitch Deck : https://docsend.com/view/r3syztw5r6yq2w3g ",400 ," 50,000 "," 100,000 ", BUSD , 2022.08.15 10:00 , 2022.09.15 10:00 , 2023-09-14 , 50% , 25% each 2 days , canceled ,50.0," 5,000 ", https://www.xdroidsgame.com/
 HentX Private Sale , No , No ," 🔥💦🍆🍑Lover of art, lover of strong sensations, hot, sweet, passionate about sex. Finally a project that brings together all adults. HENTX is a project that aims to promote the world of Hentai. The project is mainly based on a token, DAO, MetaVerse and a marketplace to collect valuable hot items, and also buy and resell these hot items. HENTX introduce a philosophy of sharing and expression through art based on NFT hentai. Who doesn't like sex art. 🔥💦🍆🍑 ","12,826.152524857735 "," 25,000 "," 50,000 ", BUSD , 2022.08.12 00:00 , 2022.08.17 23:59 , 2023-09-14 , 80% , 10% each 15 days , ended ,50.0," 10,000 ", https://linktr.ee/hentxporn
 AVANZO Private round 1 , Yes , No ," Avanzo is a Real Estate investing solution for crypto market leveraging blockchain technology to make investing in this sector fast, easy,secure & reachable to wide range of people around the globe,With our special NFT system that we built we believe that it will change the whole real estate industry worldwide, Partnered with top APP dev company worldwide,Full financial solution in one place, Avanzo built to last for generations coin price for private round 0.1$ locked for 16 months. ",60.215784077629510871 , 50 , 100 , BNB , 2022.08.15 18:39 , 2022.08.20 18:39 , 2023-09-14 , 50% , 50% each 2 days , ended ,0.5, 10 , https://avanzo.io/
 Leverage 2.1 , No , No ," Lvreum is the fastest blockchain in the world and the low cost transactions.Lvreum is not only Fast and low Cost it is a fully decentralized and secure blockchain. Lvreum network is spread over thousands of independent nodes, which means that your transactions are always safe. Lvreum is all about speed, with 900 millisecond block times. ",1.89 , 75 , 150 , BNB , 2022.08.08 12:15 , 2022.08.12 12:15 , 2023-09-14 , 80% , 20% each 1 days , ended ,0.1, 10 , https://www.lvreum.com/
